age,priors_count,length_of_stay,c_charge_degree_F,sex_Female,race,risk
30,0,0,0,0,0,1
31,0,0,0,0,0,1
45,3,92,0,0,0,1
25,0,1,1,0,1,1
28,5,0,1,1,1,0
48,5,242,1,0,1,0
29,4,80,1,0,1,0
24,0,0,1,0,0,1
35,6,10,1,0,1,0
31,3,15,1,0,1,1
67,0,1,1,0,0,1
21,4,60,1,0,1,0
42,1,17,0,0,1,1
26,24,0,1,0,1,0
23,1,1,1,0,0,1
19,0,2,0,0,0,1
58,2,83,0,0,0,1
21,1,48,1,0,0,1
30,0,1,1,0,1,1
29,0,1,0,0,1,1
34,5,1,1,1,0,1
25,3,80,0,0,1,0
38,0,4,1,1,1,1
59,0,0,1,0,0,1
26,1,0,0,0,0,1
40,15,65,1,1,1,1
39,1,0,1,0,0,1
23,1,0,1,0,1,1
40,1,1,0,0,1,1
22,1,36,1,0,1,0
42,1,1,1,0,0,1
33,6,152,1,0,0,1
54,9,1,0,0,1,1
23,0,1,0,0,1,0
44,7,24,1,0,1,1
33,2,2,1,1,1,1
36,0,0,1,0,1,1
30,1,1,1,1,0,1
24,0,2,0,1,1,1
25,6,4,1,0,1,1
74,0,0,1,1,1,1
22,3,8,1,0,1,1
24,0,0,0,0,1,1
32,0,0,0,1,1,1
30,2,0,0,0,0,1
34,0,0,1,0,0,1
27,0,0,1,1,0,1
26,1,5,0,1,0,1
35,4,1,0,0,1,1
36,26,0,1,0,1,0
22,0,1,1,0,1,1
48,4,1,1,0,1,1
33,1,0,1,1,1,1
23,1,0,1,0,1,1
60,1,18,1,0,0,1
52,15,0,0,0,1,1
20,2,58,1,0,1,1
23,4,0,1,0,1,1
66,0,1,0,0,0,1
41,5,1,1,0,0,1
33,28,1,1,0,1,0
54,10,0,1,0,1,1
43,4,0,0,0,1,1
27,2,20,1,0,1,1
22,2,13,0,0,0,1
40,4,2,1,1,0,1
60,9,0,1,0,1,0
46,10,73,1,0,0,1
66,0,1,0,0,0,1
26,5,27,1,0,1,1
29,4,0,0,0,1,1
23,2,1,0,1,1,1
49,1,-1,0,0,1,1
31,0,2,1,1,1,0
24,0,2,1,1,1,1
29,0,1,0,0,0,1
29,0,0,0,0,0,1
43,20,1,1,0,1,0
29,5,0,1,0,1,0
59,0,1,0,0,1,1
20,0,0,0,0,0,0
52,0,0,1,0,0,1
26,10,1,1,0,1,0
31,7,1,0,0,0,1
24,0,0,1,1,1,1
31,2,-1,1,0,1,1
31,0,1,0,0,0,1
21,1,2,1,0,1,1
39,0,1,1,1,0,1
36,0,0,0,1,1,1
27,1,21,0,0,0,1
49,8,3,1,0,0,1
29,0,1,0,1,1,1
24,1,-1,0,0,1,1
31,4,2,1,0,1,1
50,0,0,0,0,0,1
23,0,0,1,0,0,1
22,1,0,1,0,1,1
21,3,0,1,0,0,1
21,1,22,1,0,1,1
33,14,2,1,0,1,0
24,0,0,1,0,0,1
64,8,0,1,0,0,1
28,0,0,0,1,0,1
34,21,5,0,0,1,0
36,5,0,1,0,0,1
50,4,13,1,1,1,1
50,24,32,0,0,1,0
56,6,0,1,0,0,1
32,0,1,1,0,0,1
26,3,0,1,1,1,1
25,21,2,1,0,1,0
30,3,0,1,0,1,1
25,1,1,1,1,1,1
22,0,2,1,1,0,1
46,4,2,1,0,0,1
32,6,2,0,0,1,1
21,1,1,1,0,1,1
39,0,0,0,1,0,1
34,7,-1,1,0,1,1
29,7,1,1,0,1,0
22,1,6,1,0,1,1
31,15,2,1,0,1,0
24,0,15,0,0,1,0
24,0,18,1,0,0,1
28,5,1,1,0,1,0
61,12,241,1,0,1,1
23,3,33,1,0,1,0
46,3,14,1,0,0,1
20,0,0,1,0,1,1
40,0,0,0,1,0,1
40,0,0,0,0,0,1
24,3,1,0,0,0,1
23,11,3,1,0,0,0
28,10,243,1,0,1,1
40,3,40,0,0,0,1
30,2,0,1,1,1,1
31,15,104,1,0,1,0
46,3,20,0,0,1,1
43,0,1,1,0,1,1
38,0,1,1,1,0,1
24,12,36,0,0,1,0
34,1,1,0,0,1,1
40,8,43,0,0,1,1
33,6,0,1,0,1,1
22,2,54,0,0,1,0
22,11,0,1,0,1,0
48,0,-1,0,0,0,1
26,7,1,1,0,0,1
34,14,40,1,0,0,0
33,0,0,1,0,0,1
59,0,0,1,0,0,1
22,4,260,1,0,1,0
39,9,0,1,0,1,1
28,2,13,0,0,0,1
38,8,9,0,0,1,1
35,1,1,0,0,1,1
27,9,52,1,0,1,0
21,0,0,1,0,0,1
34,16,1,1,0,0,1
29,1,0,0,0,1,1
21,0,4,1,0,1,1
27,13,2,1,0,1,1
46,0,1,0,1,0,1
24,0,0,1,0,1,1
27,9,799,1,0,1,0
34,5,0,1,0,0,1
24,0,0,0,0,1,1
26,6,1,1,0,1,0
47,3,39,1,0,1,0
26,1,1,1,1,1,1
23,0,0,1,0,1,1
33,0,1,1,0,0,1
38,5,2,0,0,0,1
26,1,1,0,0,1,0
20,3,1,0,0,0,1
36,5,0,1,1,0,1
39,4,3,1,1,1,1
44,2,-1,0,0,0,1
43,0,1,1,0,0,1
27,1,1,1,0,1,1
24,5,-1,1,0,1,1
23,3,41,1,0,0,1
31,3,0,0,0,0,1
43,0,0,0,1,0,1
53,0,1,0,0,1,1
62,0,2,0,0,0,1
31,19,0,1,0,1,0
38,8,1,0,0,1,1
37,1,0,1,0,0,1
23,0,0,1,0,0,0
23,0,0,1,0,0,1
26,4,83,1,0,1,1
24,0,0,0,0,0,1
22,3,2,1,0,0,1
54,0,2,1,0,0,1
27,2,9,0,0,1,1
20,1,4,1,0,1,1
52,0,0,0,0,0,1
46,7,36,1,0,0,1
57,0,0,0,0,0,1
27,1,1,1,0,1,0
24,1,1,1,0,0,1
26,3,1,0,0,1,1
22,0,1,0,0,0,1
25,1,1,0,1,1,0
40,0,-1,0,0,0,1
26,5,1,0,0,1,1
38,4,0,0,0,1,1
25,7,127,1,0,1,0
47,3,63,0,0,0,1
41,6,1,1,0,1,1
29,0,-1,0,0,0,1
23,6,8,1,0,1,0
59,0,1,1,0,0,1
54,3,8,1,0,0,1
24,1,6,0,0,1,0
34,5,9,1,1,1,1
69,0,0,1,0,0,1
44,0,1,0,0,0,1
26,7,68,0,0,0,1
33,1,1,1,1,1,1
21,0,50,1,0,1,1
36,9,1,0,0,0,1
53,1,0,0,1,0,1
23,2,18,1,0,1,1
33,0,0,0,0,0,1
24,0,-1,1,0,1,1
28,1,0,0,1,0,1
38,5,41,1,1,0,1
53,0,4,0,0,0,1
33,0,45,1,0,1,1
44,3,0,1,0,0,1
52,0,0,0,1,0,1
26,1,0,0,1,0,1
51,5,20,0,1,0,1
35,7,1,1,1,1,1
23,0,0,0,0,1,0
35,7,2,1,1,1,1
30,7,602,1,0,1,0
40,5,30,1,0,1,1
24,0,9,1,0,1,1
27,1,1,1,0,0,0
29,10,29,1,0,1,0
32,0,0,1,0,0,1
29,8,13,1,0,1,0
22,0,2,1,0,1,1
22,0,1,0,1,0,0
41,0,0,1,0,1,1
58,3,15,1,0,0,1
27,0,3,1,0,1,1
24,1,1,1,0,1,1
61,15,0,1,1,0,1
48,0,2,1,0,1,1
25,5,36,1,0,1,1
44,4,1,0,0,0,1
29,1,11,0,0,0,0
26,0,0,0,1,0,1
22,3,319,1,0,1,0
23,0,3,1,0,0,1
44,0,0,1,1,1,1
29,8,6,1,0,1,0
20,0,0,0,0,0,0
46,5,2,1,0,1,1
33,2,43,1,1,0,1
37,6,1,1,0,1,1
27,1,2,0,0,1,1
35,3,0,0,1,1,1
23,1,9,0,0,0,1
47,3,2,1,0,0,1
26,0,0,1,0,0,1
54,0,2,1,0,0,1
34,0,0,0,0,0,1
59,3,1,0,0,0,1
30,2,16,1,0,1,1
26,2,-1,0,0,0,1
83,0,0,0,0,0,1
34,2,0,1,0,0,1
25,6,0,1,0,1,1
38,0,1,1,1,0,1
23,0,0,0,0,1,1
25,2,0,1,0,0,1
22,2,11,1,0,0,0
37,1,8,1,0,0,1
27,0,-1,1,0,1,1
22,1,0,1,0,0,1
30,0,0,0,0,1,1
52,0,118,1,1,0,1
21,0,1,1,0,1,0
30,10,0,1,0,1,1
28,0,0,0,1,1,1
56,0,1,1,0,0,1
40,2,0,0,0,1,1
38,0,1,1,0,0,1
52,2,1,1,0,0,1
22,1,6,1,0,1,1
30,0,0,1,0,0,1
49,0,1,0,0,0,1
34,9,1,1,0,0,1
30,5,5,0,0,0,0
21,1,1,0,1,1,1
26,0,0,0,0,0,1
39,0,1,0,0,0,1
